,BlockNumber,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,B-330,2019-04-12T13:33:56,-8.0,0,EAST,38.886848,-77.00119,34,2019-04-12T11:48:00,NAYLOR RD STATION,940949060,2019-04-12T11:10:00,2877
1,LP-05,2019-04-12T13:33:54,0.0,0,EAST,38.819942,-76.989174,P12,2019-04-12T12:21:00,ADDISON RD STATION,918468060,2019-04-12T11:15:00,7396
2,MY-16,2019-04-12T13:33:36,0.0,1,SOUTH,38.994217,-77.028023,Y8,2019-04-12T13:00:00,SILVER SPRING STATION,925465060,2019-04-12T11:49:00,7253
3,MC-82,2019-04-12T13:33:47,9.0,0,EAST,38.978264,-76.927261,C8,2019-04-12T13:11:00,COLLEGE PARK STATION,895723060,2019-04-12T11:57:00,7078
4,BD-15,2019-04-12T13:33:32,-1.0,1,WEST,38.93581,-77.107536,D6,2019-04-12T13:21:00,SIBLEY HOSPITAL,927235060,2019-04-12T11:57:00,2870
5,B-801,2019-04-12T13:33:29,18.0,0,NORTH,39.047409,-76.937187,86,2019-04-12T13:16:00,CALVERTON,933337060,2019-04-12T12:00:00,2954
6,FE-16,2019-04-12T13:33:56,0.0,1,WEST,38.870377,-77.220291,28A,2019-04-12T13:20:00,TYSONS CORNER STA,921155060,2019-04-12T12:03:00,3153
7,W-300,2019-04-12T13:33:50,7.0,0,EAST,38.858776,-76.960175,30N,2019-04-12T13:35:00,NAYLOR RD STATION,898352060,2019-04-12T12:05:00,7129
8,B-920,2019-04-12T13:33:51,6.0,1,WEST,38.930511,-77.063263,96,2019-04-12T13:37:00,TENLEYTOWN STATION,913887060,2019-04-12T12:12:00,2871
9,B-913,2019-04-12T13:33:56,1.0,0,EAST,38.889679,-76.933968,96,2019-04-12T13:38:00,CAPITOL HEIGHTS STATION,913751060,2019-04-12T12:12:00,2872
10,W-306,2019-04-12T13:33:37,11.0,1,WEST,38.90675,-77.062988,30S,2019-04-12T13:56:00,FRIENDSHIP HEIGHTS,898309060,2019-04-12T12:15:00,7164
11,B-846,2019-04-12T13:33:52,-1.0,1,SOUTH,38.901329,-77.034599,80,2019-04-12T13:14:00,MCPHERSON SQUARE,938832060,2019-04-12T12:17:00,2924
12,FB-21,2019-04-12T13:33:43,0.0,0,NORTH,38.88129,-77.111656,25B,2019-04-12T13:22:00,BALLSTON,915449060,2019-04-12T12:20:00,3173
13,FE-17,2019-04-12T13:33:43,2.0,0,EAST,38.826923,-77.088776,28A,2019-04-12T13:39:00,KING STREET - OLD TOWN STATION,921179060,2019-04-12T12:20:00,3122
14,A-253,2019-04-12T13:33:45,9.0,1,WEST,38.849205,-77.377808,2B,2019-04-12T13:11:00,WEST OX ROAD & ALLIANCE DRIVE,901659060,2019-04-12T12:20:00,6597
15,LC-80,2019-04-12T13:33:29,9.0,0,NORTH,38.989883,-76.988335,F8,2019-04-12T13:24:00,TAKOMA-LANGLEY CROSSROADS TRANSIT CENTER,942325060,2019-04-12T12:20:00,8012
16,B-844,2019-04-12T13:33:48,9.0,0,NORTH,38.931747,-76.99968,80,2019-04-12T13:42:00,FORT TOTTEN,938743060,2019-04-12T12:21:00,2912
17,PW-45,2019-04-12T13:33:45,0.0,1,SOUTH,38.861973,-76.995644,W4,2019-04-12T13:20:00,ANACOSTIA STATION,941854060,2019-04-12T12:21:00,6112
18,FE-12,2019-04-12T13:33:32,5.0,1,WEST,38.898003,-77.195389,28A,2019-04-12T13:40:00,TYSONS CORNER STA,921124060,2019-04-12T12:23:00,2968
19,CA-04,2019-04-12T13:33:41,9.0,0,EAST,38.807827,-77.084335,29N,2019-04-12T13:30:00,KING STREET - OLD TOWN STATION,918174060,2019-04-12T12:23:00,6362
20,B-325,2019-04-12T13:33:11,63.0,1,WEST,38.730087,-77.07032,36,2019-04-12T13:33:00,POTOMAC PARK,940760060,2019-04-12T12:23:00,2878
21,BR-04,2019-04-12T13:33:48,0.0,0,NORTH,38.923542,-76.970245,R2,2019-04-12T13:10:00,CALVERTON,936022060,2019-04-12T12:23:00,5478
22,M-703,2019-04-12T13:33:50,23.0,1,SOUTH,38.90966,-77.021904,70,2019-04-12T13:24:00,ARCHIVES,898759060,2019-04-12T12:24:00,5450
23,S-915,2019-04-12T13:33:53,13.0,1,SOUTH,38.862053,-76.995781,90,2019-04-12T13:19:00,ANACOSTIA STATION,903175060,2019-04-12T12:24:00,6547
24,PW-40,2019-04-12T13:33:51,16.0,0,NORTH,38.901081,-76.92466,W4,2019-04-12T13:23:00,DEANWOOD STATION,941803060,2019-04-12T12:24:00,7314
25,A-126,2019-04-12T13:33:48,0.0,0,EAST,38.881248,-77.111671,1A,2019-04-12T13:25:00,BALLSTON,905936060,2019-04-12T12:25:00,7195
26,MC-41,2019-04-12T13:33:29,1.0,0,EAST,38.967896,-76.954239,C4,2019-04-12T13:35:00,PRINCE GEORGES PLAZA STATION,902183060,2019-04-12T12:25:00,7268
27,CR-01,2019-04-12T13:33:37,35.0,0,NORTH,38.754932,-77.083366,REX,2019-04-12T13:20:00,KING STREET - OLD TOWN STATION,903995060,2019-04-12T12:25:00,6306
28,MT-04,2019-04-12T13:33:48,16.0,1,SOUTH,38.961674,-77.084663,T2,2019-04-12T13:10:00,FRIENDSHIP HEIGHTS,895448060,2019-04-12T12:25:00,7360
29,MY-14,2019-04-12T13:33:47,0.0,0,NORTH,39.152256,-77.055855,Y8,2019-04-12T13:30:00,MONTGOMERY MEDICAL CENTER VIA LEISURE WORLD,925365060,2019-04-12T12:25:00,7257
30,S-911,2019-04-12T13:33:54,63.0,1,SOUTH,38.815945,-77.016739,92,2019-04-12T13:24:00,CONGRESS HEIGHTS STATION,903061060,2019-04-12T12:26:00,6396
31,MC-83,2019-04-12T13:33:35,1.0,0,EAST,38.992165,-76.951599,C8,2019-04-12T13:41:00,COLLEGE PARK STATION,895721060,2019-04-12T12:27:00,7382
32,BD-16,2019-04-12T13:33:48,-2.0,1,WEST,38.912697,-77.09111,D6,2019-04-12T13:51:00,SIBLEY HOSPITAL,927234060,2019-04-12T12:27:00,2850
33,B-843,2019-04-12T13:33:56,7.0,0,NORTH,38.952301,-77.002197,80,2019-04-12T13:26:00,FORT TOTTEN,938760060,2019-04-12T12:28:00,2830
34,MC-42,2019-04-12T13:32:13,5.0,0,EAST,38.99799,-76.912735,C2,2019-04-12T13:33:00,GREENBELT STATION,902216060,2019-04-12T12:30:00,6039
35,BD-13,2019-04-12T13:33:48,1.0,0,EAST,38.893749,-77.000565,D6,2019-04-12T13:49:00,STADIUM-ARMORY,927316060,2019-04-12T12:30:00,2858
36,BG-42,2019-04-12T13:33:55,8.0,0,EAST,38.943169,-76.97419,G8,2019-04-12T13:28:00,AVONDALE,894974060,2019-04-12T12:30:00,2891
37,LP-03,2019-04-12T13:33:29,2.0,0,EAST,38.866016,-76.892426,P12,2019-04-12T13:36:00,ADDISON RD STATION,918465060,2019-04-12T12:30:00,7023
38,MQ-11,2019-04-12T13:33:45,58.0,1,SOUTH,39.046589,-77.108414,Q6,2019-04-12T13:18:00,WHEATON STATION,900663060,2019-04-12T12:30:00,6379
39,CR-02,2019-04-12T13:33:46,8.0,1,SOUTH,38.714439,-77.153381,REX,2019-04-12T13:29:00,FORT BELVOIR,903991060,2019-04-12T12:30:00,6301
40,W-305,2019-04-12T13:33:54,19.0,0,EAST,38.900211,-77.035843,30S,2019-04-12T14:04:00,SOUTHERN AVE STATION,898325060,2019-04-12T12:32:00,7162
